Freq,Burst,BurstBegin,BurstEnd,Degree,Centrality,Sigma,PageRank,Label,Author,Year,Title,Source,Vol,Page,Half-life,DOI,ClusterID
62,5.50,2009,2016,14,0.72,19.72,0.00,climate change,,2009,,,,,,,
21,3.53,2014,2018,12,0.49,4.10,0.00,vulnerability,,2014,,,,,,,
20,0.00,,,10,0.77,1.00,0.00,policy,,2017,,,,,,,
33,3.37,2010,2014,7,0.29,2.38,0.00,adaptation finance,,2010,,,,,,,
21,0.00,,,6,0.29,1.00,0.00,climate finance,,2011,,,,,,,
8,0.00,,,6,0.18,1.00,0.00,politics,,2020,,,,,,,
4,0.00,,,6,0.08,1.00,0.00,justice,,2019,,,,,,,
10,0.00,,,6,0.24,1.00,0.00,impacts,,2013,,,,,,,
9,0.00,,,6,0.21,1.00,0.00,governance,,2018,,,,,,,
2,0.00,,,5,0.06,1.00,0.00,country ownership,,2022,,,,,,,
2,0.00,,,5,0.04,1.00,0.00,green climate fund,,2022,,,,,,,
2,0.00,,,5,0.03,1.00,0.00,co2 emissions,,2022,,,,,,,
2,0.00,,,5,0.03,1.00,0.00,carbon emissions,,2022,,,,,,,
6,0.00,,,5,0.05,1.00,0.00,resilience,,2018,,,,,,,
2,0.00,,,5,0.04,1.00,0.00,energy,,2022,,,,,,,
2,0.00,,,4,0.06,1.00,0.00,finance,,2020,,,,,,,
2,0.00,,,4,0.02,1.00,0.00,developing countries,,2022,,,,,,,
4,0.00,,,4,0.09,1.00,0.00,impact,,2011,,,,,,,
2,0.00,,,4,0.03,1.00,0.00,decentralization,,2020,,,,,,,
2,0.00,,,4,0.03,1.00,0.00,adaptation fund,,2020,,,,,,,
2,0.00,,,4,0.04,1.00,0.00,fairness,,2019,,,,,,,
2,0.00,,,4,0.01,1.00,0.00,growth,,2022,,,,,,,
2,0.00,,,4,0.12,1.00,0.00,change mitigation,,2022,,,,,,,
2,0.00,,,4,0.11,1.00,0.00,climate vulnerability,,2022,,,,,,,
2,0.00,,,3,0.00,1.00,0.00,capacity,,2022,,,,,,,
4,0.00,,,3,0.02,1.00,0.00,mitigation,,2022,,,,,,,
2,0.00,,,3,0.00,1.00,0.00,food security,,2019,,,,,,,
2,0.00,,,3,0.00,1.00,0.00,health,,2019,,,,,,,
6,0.00,,,3,0.10,1.00,0.00,management,,2020,,,,,,,
8,3.26,2010,2013,2,0.02,1.08,0.00,adaptive capacity,,2010,,,,,,,
6,0.00,,,2,0.00,1.00,0.00,adaptation,,2011,,,,,,,
11,0.00,,,2,0.01,1.00,0.00,equity,,2017,,,,,,,
5,0.00,,,2,0.02,1.00,0.00,climate adaptation,,2020,,,,,,,
21,0.00,,,2,0.01,1.00,0.00,climate change adaptation,,2013,,,,,,,
5,0.00,,,2,0.08,1.00,0.00,risk,,2020,,,,,,,
2,0.00,,,2,0.00,1.00,0.00,climate policy,,2022,,,,,,,
4,0.00,,,1,0.00,1.00,0.00,political economy,,2017,,,,,,,
2,0.00,,,1,0.00,1.00,0.00,economics,,2011,,,,,,,
2,0.00,,,1,0.00,1.00,0.00,ecological resilience,,2015,,,,,,,
2,0.00,,,1,0.00,1.00,0.00,climate justice,,2024,,,,,,,
2,0.00,,,1,0.00,1.00,0.00,transformational change,,2021,,,,,,,
2,0.00,,,1,0.00,1.00,0.00,aid allocation,,2020,,,,,,,
2,0.00,,,1,0.00,1.00,0.00,barriers,,2021,,,,,,,
2,0.00,,,1,0.00,1.00,0.00,adaptation funding,,2010,,,,,,,
4,0.00,,,1,0.00,1.00,0.00,country,,2018,,,,,,,
2,0.00,,,1,0.00,1.00,0.00,capacity building,,2020,,,,,,,
2,0.00,,,1,0.00,1.00,0.00,power,,2022,,,,,,,
7,0.00,,,1,0.00,1.00,0.00,aid,,2020,,,,,,,
2,0.00,,,1,0.00,1.00,0.00,africa,,2015,,,,,,,
2,0.00,,,1,0.00,1.00,0.00,protection,,2018,,,,,,,
2,0.00,,,1,0.00,1.00,0.00,city,,2018,,,,,,,
2,0.00,,,1,0.00,1.00,0.00,foreign aid,,2023,,,,,,,
